drugA_name,drugA Conc (µM),drugB_name,drugB Conc (µM),cell_line,single_resp_1,single_resp_2,X/X0
5-FU,0.35,BEZ-235,0.0045,A2058,1.0103548407341785,1.0019661597251446,0.95281
5-FU,0.35,BEZ-235,0.02,A2058,1.0103548407341785,0.7150204309748507,0.75227
5-FU,0.35,BEZ-235,0.09,A2058,1.0103548407341785,0.33836321261621377,0.30258
5-FU,0.35,BEZ-235,0.4,A2058,1.0103548407341785,0.2923379569364569,0.25782
5-FU,1.08,BEZ-235,0.0045,A2058,0.9866540837740424,1.0019661597251446,0.91777
5-FU,1.08,BEZ-235,0.02,A2058,0.9866540837740424,0.7150204309748507,0.69288
5-FU,1.08,BEZ-235,0.09,A2058,0.9866540837740424,0.33836321261621377,0.36296
5-FU,1.08,BEZ-235,0.4,A2058,0.9866540837740424,0.2923379569364569,0.24997
5-FU,3.25,BEZ-235,0.0045,A2058,0.9038478976785267,1.0019661597251446,0.80693
5-FU,3.25,BEZ-235,0.02,A2058,0.9038478976785267,0.7150204309748507,0.65666
5-FU,3.25,BEZ-235,0.09,A2058,0.9038478976785267,0.33836321261621377,0.35392
5-FU,3.25,BEZ-235,0.4,A2058,0.9038478976785267,0.2923379569364569,0.20808
5-FU,10.0,BEZ-235,0.0045,A2058,0.6831383221210833,1.0019661597251446,0.65769
5-FU,10.0,BEZ-235,0.02,A2058,0.6831383221210833,0.7150204309748507,0.52702
5-FU,10.0,BEZ-235,0.09,A2058,0.6831383221210833,0.33836321261621377,0.31172
5-FU,10.0,BEZ-235,0.4,A2058,0.6831383221210833,0.2923379569364569,0.25331
5-FU,0.35,L778123,0.325,A2058,1.0103548407341785,0.9497892859225641,0.98143
5-FU,0.35,L778123,0.8,A2058,1.0103548407341785,0.9098114073509713,0.87754
5-FU,0.35,L778123,2.0,A2058,1.0103548407341785,0.8442487804070744,0.79684
5-FU,0.35,L778123,5.0,A2058,1.0103548407341785,0.7501777892409087,0.66497
5-FU,1.08,L778123,0.325,A2058,0.9866540837740424,0.9497892859225641,0.91229
5-FU,1.08,L778123,0.8,A2058,0.9866540837740424,0.9098114073509713,0.84952
5-FU,1.08,L778123,2.0,A2058,0.9866540837740424,0.8442487804070744,0.76478
5-FU,1.08,L778123,5.0,A2058,0.9866540837740424,0.7501777892409087,0.61485
5-FU,3.25,L778123,0.325,A2058,0.9038478976785267,0.9497892859225641,0.79183
5-FU,3.25,L778123,0.8,A2058,0.9038478976785267,0.9098114073509713,0.72811
5-FU,3.25,L778123,2.0,A2058,0.9038478976785267,0.8442487804070744,0.6745
5-FU,3.25,L778123,5.0,A2058,0.9038478976785267,0.7501777892409087,0.56964
5-FU,10.0,L778123,0.325,A2058,0.6831383221210833,0.9497892859225641,0.66351
5-FU,10.0,L778123,0.8,A2058,0.6831383221210833,0.9098114073509713,0.60056
5-FU,10.0,L778123,2.0,A2058,0.6831383221210833,0.8442487804070744,0.56711
5-FU,10.0,L778123,5.0,A2058,0.6831383221210833,0.7501777892409087,0.50485
5-FU,0.35,PD325901,0.0011,A2058,1.0103548407341785,1.004591452726377,1.01288
5-FU,0.35,PD325901,0.005,A2058,1.0103548407341785,0.9771795085313917,0.95595
5-FU,0.35,PD325901,0.0223,A2058,1.0103548407341785,0.8665800459893327,0.82356
5-FU,0.35,PD325901,0.1,A2058,1.0103548407341785,0.6798602607267161,0.66364
5-FU,1.08,PD325901,0.0011,A2058,0.9866540837740424,1.004591452726377,0.98267
5-FU,1.08,PD325901,0.005,A2058,0.9866540837740424,0.9771795085313917,0.93522
5-FU,1.08,PD325901,0.0223,A2058,0.9866540837740424,0.8665800459893327,0.81847
5-FU,1.08,PD325901,0.1,A2058,0.9866540837740424,0.6798602607267161,0.61629
